Arabic_Names,English_Names
سليمان نجيب,Solomon Najib
أمينة رزق,Amina Rizk
دولت أبيض,White dolphins
عقيلة راتب,Wife of salary
سلوى علام,Salwa Allam
زوزو نبيل,Zuzu Nabil
نادية أحمد,Nadia Ahmed
نينا زاكى,Nina Zaki
أنور وجدي,Anwar Wagdy
حسن فايق,Hassan Fayek
فاخر فاخر,Luxury Luxury
محمود المليجي,Mahmoud El Meligy
زكي إبراهيم,Zaki Ibrahim
حسن مختار صقر,Hassan Mokhtar Saqr
عزيزة محمد,Aziza Mohammed
مرجريت صفير,Margarine saffron
مختار عثمان,Mokhtar Othman
لطفي الحكيم,Lotfi Hakim
عزيزة أمير,Dear Amir
محمود ذو الفقار,Mahmoud Zulfikar
نجمة إبراهيم,Star of Ibrahim
عبدالسلام النابلسي,Abdul Salam Nabulsi
ثريا فخري,Thuraya Fakhri
عمر وصفى,Omar and Safi
سرينا إبراهيم,Serena Ibrahim
ممدوح ذو الفقار,Mamdouh Zulfikar
إستيفان روستي,Estefan Rusty
عز الدين ذو الفقار,Izz al-Din Zulfiqar
ميمي شكيب,Mimi Shakib
محسن سرحان,Mohsen Sarhan
روحية خالد,Spiritual Khaled
فردوس محمد,Firdous Mohammed
علية الحبشية,The Ethiopian
ثريا حلمي,Thoraya Helmy
ظريفة,Nice
الشيخة عزيزة,Sheikha Azizah
فؤاد شفيق,Fouad Shafiq
منسى فهمي,Mansy Fahmy
عبدالفتاح القصري,Abdul Fattah al-Qasri
عبدالمجيد شكري,Abdul Majid Shukri
يحيى نجاتي,Yahya Najati
مصطفى الجزار,Mustafa al-Jazzar
محمد ابراهيم,Mohammed Ibrahim
عباس بدوى,Abbas Badawi
فؤاد فهيم,Fouad Fahim
إدمون تويما,Edmond Toyama
محمد الكحلاوي,Mohammed Al - Kahlawi
عبدة السروجي,Abdo Srouji
حسن بيومي,Hassan Bayoumi
لولا صدقي,Lola Sedqi
آمال حسين,Amal Hussein
حسين عيسى,Hussein Issa
فوزي الجزايرلي,Fawzi Aljazairli
إحسان الجزايرلي,Ihsan al-Jazairi
زوزو شكيب,Zuzu Chakib
تحية كاريوكا,Greetings Karioka
زكية إبراهيم,Zakia Ibrahim
إيزابيل,Isabel
بشارة واكيم,Bishara and Wakim
أحمد الحداد,Ahmed El Haddad
كيرياكو بيتريدس,Kyriaku Petrides
بير ميسى,Pierre Messi
محمد عبدالوهاب,Muhammad Abd-alwahab
علوية جميل,Beautiful top
فاطمة محجوب,Fatima Mahgoub
فاتن حمامة,Faten Hamama
شعبان نجيب,Shaaban Najib
عبدالوارث عسر,Abdullwarth Essar
إلهام حسين,Elham Hussein
سميحة سميح,Samiha Sameeh
بديعة صادق,Exquisite and sincere
أحمد علام,Ahmed Allam
مصطفى راشد,Mustafa Rashed
سعيد أبو بكر,Said Abu Bakr
أمين وهبة,Amin Wahba
فردوس حسن,Firdous Hassan
عفيفة إسكندر,Alexander the Great
عباس فارس,Abbas Fares
محمد الديب,Mohamed El Deeb
حسين المليجي,Hussein El Meligy
ألفريد حداد,Alfred Haddad
حسن صالح,Hassan Saleh
حسن راشد,Hassan Rashid
علي عبدالعال,Ali Abdel Aal
يوسف وهبي,Yousef Wehbe
ليلى مراد,Leila Mourad
عقيلة محمد,Mohammed&#39;s wife
محمد كامل,Mohamed Kamel
آسيا داغر,Asia Dagger
حسين صدقي,Hussein Sidqi
زينب صدقي,Zainab Sedqi
ليلى حلمى,Laila Helmy
علي الكسار,Ali Al-Kassar
حامد مرسي,Hamed Morsi
رياض القصبجي,Riad Al-Qasabji
عبدالعزيز الجاهلي,Abdulaziz Al - Jahili
سعاد أحمد,Soad Ahmed
عباس الدالي,Abbas Al-Dali
علي كامل,Ali Kamel
توفيق صادق,Tawfiq Sadiq
أسمهان,Asmahan
فريد الأطرش,Farid al-Atrash
حسن كامل,Hassan Kamel
عزيز صادق,Aziz Sadek
سامية جمال,Samia Jamal
جراسيا قاصين,Gracia is narrow
صالحة قاصين,Salih Qasin
محمود إسماعيل,Mahmoud Ismail
